idAmazon,idGoogleBase,title,Googlename,class
b000jz4hqo,http://www.google.com/base/feeds/snippets/18441480711193821750,clickart 950 000 - premier image pack (dvd-rom),clickart 950000 - premier image pack (dvd-rom),matching
b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849,noah's ark activity center (jewel case ages 3-8),the beginners bible: noah's ark activity center: activity center,matching
b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272,peachtree by sage premium accounting for nonprofits 2007,sage (ptree) - vernfp2007rt - premium accounting for nonprofits 2007,matching
b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849,singing coach unlimited,singing coach unlimited - electronic learning products,matching
b00021xhzw,http://www.google.com/base/feeds/snippets/18430621475529168165,adobe after effects professional 6.5 upgrade from standard to professional,adobe software 22070152 after effects 6.5 pbupgrd,matching
b0000dbykm,http://www.google.com/base/feeds/snippets/18434163358494173665,mia's math adventure: just in time,kutoka interactive 61208 mia's math adventure: just in time!,matching
b0000dbykm,http://www.google.com/base/feeds/snippets/18363672170449359273,mia's math adventure: just in time,kutoka interactive 61208 - mias math adventure (just in time) (win 95 98 me 2000 xp/mac 8.6-9.x (classic) x v10.1 or higher),matching
b00029bqa2,http://www.google.com/base/feeds/snippets/18431790997623472871,disney's 1st & 2nd grade bundle (pixar 1st grade secret keys and aladdin reading quest),disney learning 1st-2nd grade win,matching
b0007prnjo,http://www.google.com/base/feeds/snippets/18434733520229761009,paper art: gift wrapping,paper art volume 2: gift wrapping,matching
b000i82j80,http://www.google.com/base/feeds/snippets/18434262004669557918,spy sweeper spanish,webroot software inc - 31250 - spy sweeper spanish,matching
b000i82j80,http://www.google.com/base/feeds/snippets/6054765746746674194,spy sweeper spanish,webroot software inc 31250 - spy sweeper spanish - win 2000 xp,matching
b000in6u62,http://www.google.com/base/feeds/snippets/18434616791723899127,omnioutliner professional 3.0,omnioutliner professional 3.0 for mac,matching
b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433,upg sgms 1000 incremental node,sonicwall gms 1000n-incremental lic upg,matching
b00006hvvo,http://www.google.com/base/feeds/snippets/9687887699930800156,upg sgms 1000 incremental node,sonicwall gms 1000 upgrade,matching
b0000ycfcw,http://www.google.com/base/feeds/snippets/321181551780335576,the human body,topics presents: human body,matching
b00066dd5m,http://www.google.com/base/feeds/snippets/949436197920820923,school zone pencil-pal software big phonics (cd-rom & book),pencil-pal big phonics,matching
b00002sac9,http://www.google.com/base/feeds/snippets/8401993747038150345,millie's math house ages 3-7 (win/mac),millies math house,matching
b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819,world book encyclopedia 2006,world book 2006,matching
b000fm18vi,http://www.google.com/base/feeds/snippets/3620383930983735395,musicalis guitar workshop,musicalis universal guitar workshop,matching
b00009apna,http://www.google.com/base/feeds/snippets/3435680088823178198,the printshop 20 professional publisher,printshop 20 pro publisher,matching
b0009rgzgm,http://www.google.com/base/feeds/snippets/1883379429602083103,data protection suite,data protection security suite 2005,matching
b000ap2wyw,http://www.google.com/base/feeds/snippets/2622452102774676117,kids power fun for girls,kids power fun for girls,matching
b000o24l3q,http://www.google.com/base/feeds/snippets/5181661570525386541,adobe premiere pro cs3 upgrade,adobe premiere pro cs3 upgrade,matching
b000o24l3q,http://www.google.com/base/feeds/snippets/9489728552695383239,adobe premiere pro cs3 upgrade,premiere pro cs3 mac upgrade,matching
b0009jlux8,http://www.google.com/base/feeds/snippets/4923451909983851979,i copy dvds 2 professional edition,i copydvds 2 professional edition,matching
b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054,gen-x media made easy vol. 3,media made easy volume 3,matching
b00023azve,http://www.google.com/base/feeds/snippets/4949402291543451335,family tree maker 11.2 collector's edition,family tree maker 11 collector's edition,matching
b000ndicuy,http://www.google.com/base/feeds/snippets/2263647849333008264,adobe fireworks cs3 [mac],adobe fireworks cs3,matching
b0000ycfdq,http://www.google.com/base/feeds/snippets/4188176128903497851,dinosaurs,topics presents:dinosaurs,matching
b0007yepy6,http://www.google.com/base/feeds/snippets/4783370532123880956,instant home design 3.0 [lb],instant home design 3.0,matching
b000cpmtwk,http://www.google.com/base/feeds/snippets/1417708435719198149,x-oom internet movies 2,x-oom internet movies 2,matching
b0002qnd2y,http://www.google.com/base/feeds/snippets/975032998818002648,form workshop 1200,form workshop 1200,matching
b000h22pg8,http://www.google.com/base/feeds/snippets/392494394952738157,the print shop pro publisher 22 deluxe [dvd],the printshop pro publisher v22 deluxe dvd-rom,matching
b0009h9q1i,http://www.google.com/base/feeds/snippets/5665024204886410,stomp inc recover lost data 2005,recover lost data,matching
b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773,my first bible stories,my first bible stories (jc),matching
b0001db6i6,http://www.google.com/base/feeds/snippets/12904825904608701558,the big mix (mac),the big mix,matching
b000bl40dg,http://www.google.com/base/feeds/snippets/10381298233088883938,x-oom movie clone 3 gold,xoom movie clone 3 gold,matching
b000h22rbg,http://www.google.com/base/feeds/snippets/10500380486679990055,the print shop 22 deluxe,the printshop v22 deluxe,matching
b000bezsyi,http://www.google.com/base/feeds/snippets/10911853136488554482,imsi turbocad designer v.11,imsi turbocad designer 11,matching
b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598,lavasoft ad-aware plus edition,lavasoft ad-aware plus edition,matching
b0001bg5gq,http://www.google.com/base/feeds/snippets/11618158047568311763,clip art and more 250 000 (jewel case),clipart & more 250000 (jc),matching
b000ivhozk,http://www.google.com/base/feeds/snippets/12543046747030237240,instant immersion language lab deluxe edition,instant immersion language lab deluxe edition,matching
b000buqo9a,http://www.google.com/base/feeds/snippets/12604725900103506627,elementary school success deluxe 2006,elementary school success deluxe 2006,matching
b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528,national geographic presents: redshift planetarium,national geographic redshift planetarium,matching
b000butd6q,http://www.google.com/base/feeds/snippets/6990565128537638388,math success deluxe 2006,math success deluxe 2006,matching
b00032hexq,http://www.google.com/base/feeds/snippets/6856336028258284106,national geographic presents: forces of nature,national geographic: forces of nature,matching
b000b6vlh4,http://www.google.com/base/feeds/snippets/10993073455692001778,reference success deluxe 2006,topics entertainment reference success deluxe 2006,matching
b0009i9tqy,http://www.google.com/base/feeds/snippets/8804538687114603592,clifford the big red dog - thinking adventures,clifford thinking,matching
b00024yohy,http://www.google.com/base/feeds/snippets/9205821354688722990,mastercook deluxe low carb,mastercook deluxe low carb edition,matching
b00020633g,http://www.google.com/base/feeds/snippets/5720091777255380975,instant home design (jewel case),instant home design 1 (jc),matching
b000cbqbby,http://www.google.com/base/feeds/snippets/5968511357343083164,boomerang webshop platinum,web shop platinum,matching
b0002x1omi,http://www.google.com/base/feeds/snippets/7039940734695244235,allume boost xp for windows,boost xp,matching
b0009stm6g,http://www.google.com/base/feeds/snippets/7117788517647646539,jumpstart learning games phonics (pc & mac),jumpstart phonics (jc),matching
b000ap0h94,http://www.google.com/base/feeds/snippets/7651654029530591686,kids power fun for little ones,kids power fun for little ones,matching
b0000ycfe0,http://www.google.com/base/feeds/snippets/8175198959985911471,museums of the world,topics presents: museums of world,matching
b00006j02n,http://www.google.com/base/feeds/snippets/18268949289189904876,matchbox cross-town heroes,matchbox cross town heros,matching
b0000aka82,http://www.google.com/base/feeds/snippets/15883771067913561390,studyworks! teaching pro: middle school math & science (win/mac),middle school math & science,matching
b00002s8if,http://www.google.com/base/feeds/snippets/17110430434010171078,trudy's time and place house ages 3-6,trudys time & place house,matching
b0009ren8e,http://www.google.com/base/feeds/snippets/18152695793777845265,personal image manager,personal imagemanager,matching
b000a3x6te,http://www.google.com/base/feeds/snippets/16407653863068941558,stomp inc drive washer,drive washer 2005,matching
