original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
MAYBELLINE NEW YORK Maybelline New York Fit Me Matte + Poreless – 102 Fair Ivory ,Maybelline New York Fit Me Matte + Poreless – 115 Ivory Maybelline New York Fit Me Matte + Poreless – 115 Ivory,0.6145833333333333,https://www.noon.com/egypt-en/maybelline-new-york-fit-me-matte-poreless-102-fair-ivory/Z5F63F1C06B22324B2D8CZ/p/?o=z5f63f1c06b22324b2d8cz-1,348,https://www.amazon.eg/-/en/Maybelline-New-York-Matte-Poreless/dp/B01GHP57Z4,285
"MAYBELLINE NEW YORK Maybelline New York, Instant Age Rewind Eraser Concealer 03 ","Maybelline New York, Instant Age Rewind Eraser Concealer 02 - Nude Maybelline New York, Instant Age Rewind Eraser Concealer 02 - Nude",0.619718309859155,https://www.noon.com/egypt-en/maybelline-new-york-instant-age-rewind-eraser-concealer-03/Z135B9C0C0DE8ACAB7574Z/p/?o=z135b9c0c0de8acab7574z-1,428,https://www.amazon.eg/-/en/Maybelline-Instant-Rewind-Eraser-Concealer/dp/B00JR76S2Q,493
Wet & Wild Wet n Wild Bare Focus Tinted Hydrator Tinted Skin Veil Hyaluronic Acid Light Medium ,Maybelline New York Fit Me Concealer - Medium 25 Maybelline New York Fit Me Concealer - Medium 25,0.40625,https://www.noon.com/egypt-en/wet-n-wild-bare-focus-tinted-hydrator-tinted-skin-veil-hyaluronic-acid-light-medium/ZBD735C026CF9C1277D1EZ/p/?o=zbd735c026cf9c1277d1ez-1,980,https://www.amazon.eg/-/en/Maybelline-New-York-Fit-Concealer/dp/B007B8UOPK,264
REAL TECHNIQUES Everyday Essentials Multi Use Brush Set Multicolour ,Menow Make Up Set Palette Professional 78 Colors Multicolour Menow Make Up Set Palette Professional 78 Colors Multicolour,0.3915343915343915,https://www.noon.com/egypt-en/everyday-essentials-multi-use-brush-set-multicolour/N31489433A/p/?o=ca3d63ef3db57d1c,211,https://www.amazon.eg/-/en/Menow-Palette-Professional-Colors-Multicolour/dp/B0CV4C3SH9,399
NYX PROFESSIONAL MAKEUP The Brow Glue Clear ,"NYX PROFESSIONAL MAKEUP Jumbo Eye Pencil, Eyeshadow & Eyeliner Pencil - Milk NYX PROFESSIONAL MAKEUP Jumbo Eye Pencil, Eyeshadow & Eyeliner Pencil - Milk",0.3857868020304569,https://www.noon.com/egypt-en/the-brow-glue-clear/N43968457A/p/?o=a33ea4f09a48b73b,235,https://www.amazon.eg/-/en/NYX-PROFESSIONAL-MAKEUP-Eyeshadow-Eyeliner/dp/B001TK4LM8,"1,057"
Dermacy LABORATORIES Waterproof Make-Up Remover ,Sheglam Eye Affinity Waterproof Eyeliner Sheglam Eye Affinity Waterproof Eyeliner,0.37209302325581395,https://www.noon.com/egypt-en/waterproof-make-up-remover/Z1142B269A83D4F822C06Z/p/?o=z1142b269a83d4f822c06z-1,224,https://www.amazon.eg/-/en/Sheglam-Eye-Affinity-Waterproof-Eyeliner/dp/B0CK9FT3PG,390
"L'OREAL PARIS L'Oréal Paris, Pro XXL Lift Mascara ",essence Lash Brow Gel Mascara essence Lash Brow Gel Mascara,0.3669724770642202,https://www.noon.com/egypt-en/l-or-al-paris-pro-xxl-lift-mascara/ZDEBE09EDD79035C21CC2Z/p/?o=zdebe09edd79035c21cc2z-1,425,https://www.amazon.eg/-/en/essence-Lash-Brow-Gel-Mascara/dp/B0038E15JU,109
"MAYBELLINE NEW YORK Maybelline Instant Anti-Age Eraser Concealer, 01 Light - 6.8ml ",Maybelline New York Instant Eraser Concealer light Maybelline New York Instant Eraser Concealer light,0.5108695652173914,https://www.noon.com/egypt-en/maybelline-instant-anti-age-eraser-concealer-01-light-6-8ml/ZB5E47DE65603B61CB248Z/p/?o=zb5e47de65603b61cb248z-1,568,https://www.amazon.eg/-/en/Maybelline-Instant-Eraser-Concealer-light/dp/B00JR76TKW,381
MAYBELLINE NEW YORK Maybelline Lifter Lip Gloss 003 Moon ,"Maybelline New York Lifter Lip Gloss, 006 Reef Maybelline New York Lifter Lip Gloss, 006 Reef",0.52,https://www.noon.com/egypt-en/maybelline-lifter-lip-gloss-003-moon/N43092732A/p/?o=ff7355ebe139941c,288,https://www.amazon.eg/-/en/Maybelline-York-Lifter-Gloss-Reef/dp/B082XRC4DC,322
Essence I Love Extreme Black Mascara Crazy Volume ,Essence I love extr. crazy volume mascara Essence I love extr. crazy volume mascara,0.5714285714285714,https://www.noon.com/egypt-en/i-love-extreme-black-mascara-crazy-volume/N11031445A/p/?o=a4751d5f2129dd9f,80.40,https://www.amazon.eg/-/en/Essence-love-extr-crazy-mascara/dp/B00GSUCEJ6,144
KIKO MILANO Unlimited Double Touch Liquid Lip Colour 103 Natural Rose ,KIKO Milano Unlimited Double Touch Liquid lipstick - 103 Natural Rose KIKO Milano Unlimited Double Touch Liquid lipstick - 103 Natural Rose,0.5837320574162679,https://www.noon.com/egypt-en/unlimited-double-touch-liquid-lip-colour-103-natural-rose/N46554630A/p/?o=de25715225d2925d,300,https://www.amazon.eg/-/en/KIKO-Milano-Unlimited-Double-lipstick/dp/B07DC6258H,690
Essence Lash Princess Volume False Effect Mascara 0400/ 01 Black ,essence Lash Brow Gel Mascara essence Lash Brow Gel Mascara,0.5,https://www.noon.com/egypt-en/lash-princess-volume-false-effect-mascara-0400-01-black/N11031427A/p/?o=f112031bf211ca1d,70.55,https://www.amazon.eg/-/en/essence-Lash-Brow-Gel-Mascara/dp/B0038E15JU,109
