original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Eiios Son Whitening Cream  Body 100ml ,"Emollient, Lip Moist & Emollient Soft Cream Bundle bag",0.4565217391304348,https://www.noon.com/egypt-en/whitening-cream-body-100ml/ZC2DE4E1D4B8802C96CD6Z/p/?o=zc2de4e1d4b8802c96cd6z-1,400,https://www.amazon.eg/-/en/Emollient-Moist-Soft-Cream-Bundle/dp/B0CL79JB2Q,139
Luna Emollient Bundle Promo Bag ,Emollient Saving Bundle,0.5818181818181818,https://www.noon.com/egypt-en/emollient-bundle-promo-bag/N44083191A/p/?o=d4dd8c9ed79e114f,135,https://www.amazon.eg/-/en/Luna-Emollient-Saving-Bundle/dp/B08WJLGF6X,144
Luna Emollient Cream For Hand & Body Multicolour 300grams ,"emollient cream for hand & heel, 40 gm",0.5833333333333333,https://www.noon.com/egypt-en/emollient-cream-for-hand-body-multicolour-300grams/N44171999A/p/?o=e25842bffe8cfc6c,147,https://www.amazon.eg/-/en/Luna-emollient-cream-hand-heel/dp/B07BXW8RJV,29
Luna Luna Intensive Tanning Gel 130 Gm ,"intensive tanning gel, 130 gm",0.7058823529411764,https://www.noon.com/egypt-en/luna-intensive-tanning-gel-130-gm/Z165BFD1E88CD46D81FAEZ/p/?o=z165bfd1e88cd46d81faez-1,319,https://www.amazon.eg/-/en/Luna-intensive-tanning-gel-130/dp/B07D681D92,303
Luna Emollient Soft Cream Glycerin & Jojoba Oil 20 gm ,Emollient Soft Cream Glycerin & Jojoba Oil 20 gm,0.9411764705882353,https://www.noon.com/egypt-en/emollient-soft-cream-glycerin-jojoba-oil-20-gm/Z7807101C5E380B96BCACZ/p/?o=z7807101c5e380b96bcacz-1,14.85,https://www.amazon.eg/-/en/Luna-Emollient-Cream-Glycerin-Jojoba/dp/B0C5W4WW1V,14
Luna Solar Uv Gel Top Coat 10 Ml Clear ,"solar uv gel top coat, 10 ml, transparent",0.6,https://www.noon.com/egypt-en/solar-uv-gel-top-coat-10-ml-clear/N44173269A/p/?o=e668c82de82d54ba,158.85,https://www.amazon.eg/-/en/Luna-solar-gel-coat-transparent/dp/B0B2WSMNYF,158
Luna Emollient Lip Therapy clear ,"emollient lip therapy ,10 ml",0.6557377049180328,https://www.noon.com/egypt-en/emollient-lip-therapy-clear/N20680677A/p/?o=a86d3f67b586055f,39.65,https://www.amazon.eg/-/en/Luna-emollient-lip-therapy-10/dp/B08X6FJXZF,37
Luna Pro-Touch Makeup Pump Clear ,"air breathable nail lacquer - clear, 10 ml",0.3733333333333333,https://www.noon.com/egypt-en/pro-touch-makeup-pump-clear/N20694960A/p/?o=bba5518e9d0709ed,296,https://www.amazon.eg/-/en/Luna-air-breathable-nail-lacquer/dp/B08WJPTY8R,57
Luna Nail Spa Luna - Ridge Filler 10Ml Beige ,Professional nail spa luna -stop bite.10 ml,0.4772727272727273,https://www.noon.com/egypt-en/nail-spa-luna-ridge-filler-10ml-beige/N41934492A/p/?o=aca8d5c6a2c45fca,74.25,https://www.amazon.eg/-/en/Professional-nail-luna-stop-bite-10/dp/B08WJPTXGV,79
Luna Solar Gel Nail Polish - Passion Smoother - 10 Ml No.1007 ,"air breathable nail lacquer - clear, 10 ml",0.42307692307692313,https://www.noon.com/egypt-en/solar-gel-nail-polish-passion-smoother-10-ml-no-1007/N44173252A/p/?o=a7368535ebebb16c,84.75,https://www.amazon.eg/-/en/Luna-air-breathable-nail-lacquer/dp/B08WJPTY8R,57
