original_product,best_match,similarity_score,noon_ref,noon_prices,amazon_ref,amazon_prices
Adidas Galaxy 6 Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5483870967741935,https://www.noon.com/egypt-en/galaxy-6-running-shoes/Z23ED34AFEC302A35CC07Z/p/?o=z23ed34afec302a35cc07z-5,"2,339",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
Adidas Runfalcon 3.0 Tr W ,Adidas,0.375,https://www.noon.com/egypt-en/runfalcon-3-0-tr-w/Z338F63F7C4F9EC17AC6EZ/p/?o=z338f63f7c4f9ec17ac6ez-4,"3,041",https://www.amazon.eg/-/en/Adidas-ULTIMASHOW-FX3624-RUNNING-black/dp/B087DD114J,"2,109"
Adidas Ultraboost Light Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5428571428571429,https://www.noon.com/egypt-en/ultraboost-light-running-shoes/ZD69F46482FDA9CCA1123Z/p/?o=zd69f46482fda9cca1123z-5,"7,336",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
CORTECH CHICANE WP SHOE BLACK 46 ,mens ACTIV FASHION ST SHOES Sneaker,0.38235294117647056,https://www.noon.com/egypt-en/chicane-wp-shoe-black-46/ZBF877A4E13B56EFA3883Z/p/?o=zbf877a4e13b56efa3883z-1,"9,600",https://www.amazon.eg/-/en/ACTIV-FASHION-SHOES-White-Black/dp/B0CYH8G5PW,999
CORTECH Chicane Wp Shoe 8.5 ,Men's Cai Slip On Shoes,0.3921568627450981,https://www.noon.com/egypt-en/chicane-wp-shoe-8-5/N52986322A/p/?o=d21a2a9fce73187a,"10,000",https://www.amazon.eg/-/en/Mintra-Mens-Slip-Shoes-Blue/dp/B0BYJW5Q3T,499
Adidas Advantage Shoes ,Kids 3-Stripes Shoes,0.5581395348837209,https://www.noon.com/egypt-en/advantage-shoes/Z22372BC73E1E454AB9F8Z/p/?o=z22372bc73e1e454ab9f8z-18,"3,485",https://www.amazon.eg/-/en/Amoun-Kids-3-Stripes-Shoes-Size/dp/B0DCZV3JYZ,235
Adidas Ultrabounce Running Shoes ,Men Nitro - 11452 Running Shoe -,0.5538461538461539,https://www.noon.com/egypt-en/ultrabounce-running-shoes/Z33F7596BE07A8A6DA5F4Z/p/?o=z33f7596be07a8a6da5f4z-5,"4,146",https://www.amazon.eg/-/en/Diadora-Men-Nitro-11452-Running/dp/B0BZ5DHN6B,"1,195"
Adidas Barricade Tennis Shoes ,Kids 3-Stripes Shoes,0.56,https://www.noon.com/egypt-en/barricade-tennis-shoes/Z0D77C63C4DFB12267020Z/p/?o=z0d77c63c4dfb12267020z-7,"6,187",https://www.amazon.eg/-/en/Amoun-Kids-3-Stripes-Shoes-Size/dp/B0DCZV3JYZ,235
Alpinestars FASTER-3 SHOES BKBK 10.5 ,mens ACTIV FASHION ST SHOES Sneaker,0.38888888888888884,https://www.noon.com/egypt-en/faster-3-shoes-bkbk-10-5/ZFFAA64FBFE6EBC461BA8Z/p/?o=zffaa64fbfe6ebc461ba8z-1,"17,500",https://www.amazon.eg/-/en/ACTIV-FASHION-SHOES-White-Black/dp/B0CYH8G5PW,999
CORTECH CHICANE WP SHOE BLACK 43 ,mens ACTIV FASHION ST SHOES Sneaker,0.38235294117647056,https://www.noon.com/egypt-en/chicane-wp-shoe-black-43/Z3E59710C471D1D547F6CZ/p/?o=z3e59710c471d1d547f6cz-1,"10,000",https://www.amazon.eg/-/en/ACTIV-FASHION-SHOES-White-Black/dp/B0CYH8G5PW,999
